,ZAF
1977-05-01,20.73
1977-06-01,14.01
1977-07-01,7.779999999999999
1977-08-01,18.58
1977-09-01,73.39
1977-10-01,64.45
1977-11-01,68.7
1977-12-01,91.57
1978-01-01,150.01
1978-02-01,101.57
1978-03-01,77.9
1978-04-01,72.49
1978-05-01,8.92
1978-06-01,5.32
1978-07-01,9.34
1978-08-01,24.349999999999998
1978-09-01,47.78
1978-10-01,70.76
1978-11-01,63.45
1978-12-01,78.31
1979-01-01,93.92999999999999
1979-02-01,83.59
1979-03-01,55.660000000000004
1979-04-01,33.09
1979-05-01,32.51
1979-06-01,9.72
1979-07-01,27.59
1979-08-01,56.55
1979-09-01,41.07
1979-10-01,67.51
1979-11-01,98.04
1979-12-01,96.59
1980-01-01,111.11
1980-02-01,104.99
1980-03-01,43.49
1980-04-01,28.55
1980-05-01,14.34
1980-06-01,7.920000000000001
1980-07-01,3.44
1980-08-01,14.25
1980-09-01,56.5
1980-10-01,31.36
1980-11-01,117.8
1980-12-01,88.62
1981-01-01,161.04
1981-02-01,89.94
1981-03-01,86.56
1981-04-01,29.46
1981-05-01,22.02
1981-06-01,17.14
1981-07-01,11.2
1981-08-01,64.2
1981-09-01,37.54
1981-10-01,46.36
1981-11-01,87.13
1981-12-01,98.26
1982-01-01,103.85000000000001
1982-02-01,47.75
1982-03-01,74.99
1982-04-01,68.65
1982-05-01,12.94
1982-06-01,18.43
1982-07-01,26.93
1982-08-01,7.890000000000001
1982-09-01,25.560000000000002
1982-10-01,106.5
1982-11-01,59.59
1982-12-01,69.24000000000001
1983-01-01,68.33
1983-02-01,43.56
1983-03-01,66.66
1983-04-01,32.5
1983-05-01,44.419999999999995
1983-06-01,25.349999999999998
1983-07-01,31.77
1983-08-01,18.35
1983-09-01,28.94
1983-10-01,63.949999999999996
1983-11-01,145.65
1983-12-01,100.91
1984-01-01,106.2
1984-02-01,43.09
1984-03-01,89.89
1984-04-01,32.88
1984-05-01,27.76
1984-06-01,17.77
1984-07-01,26.19
1984-08-01,33.08
1984-09-01,28.49
1984-10-01,93.48
1984-11-01,92.72
1984-12-01,64.74
1985-01-01,113.07
1985-02-01,129.37
1985-03-01,79.58
1985-04-01,15.53
1985-05-01,19.2
1985-06-01,13.69
1985-07-01,13.01
1985-08-01,8.93
1985-09-01,30.81
1985-10-01,109.22
1985-11-01,89.61
1985-12-01,131.86
1986-01-01,96.97
1986-02-01,76.84
1986-03-01,77.58
1986-04-01,59.05
1986-05-01,6.3100000000000005
1986-06-01,28.76
1986-07-01,11.21
1986-08-01,47.29
1986-09-01,35.07
1986-10-01,98.84
1986-11-01,106.61
1986-12-01,117.51
1987-01-01,103.12
1987-02-01,80.45
1987-03-01,97.8
1987-04-01,39.41
1987-05-01,10.88
1987-06-01,19.490000000000002
1987-07-01,13.790000000000001
1987-08-01,46.48
1987-09-01,157.32
1987-10-01,73.47
1987-11-01,112.54
1987-12-01,121.79
1988-01-01,96.46
1988-02-01,127.25
1988-03-01,123.58
1988-04-01,78.83
1988-05-01,20.84
1988-06-01,28.31
1988-07-01,16.54
1988-08-01,23.14
1988-09-01,55.18
1988-10-01,120.42
1988-11-01,70.97
1988-12-01,126.44
1989-01-01,108.16
1989-02-01,170.81
1989-03-01,58.6
1989-04-01,65.89
1989-05-01,26.21
1989-06-01,37.84
1989-07-01,14.85
1989-08-01,14.07
1989-09-01,17.29
1989-10-01,71.21
1989-11-01,150.13
1989-12-01,99.56
1990-01-01,90.64999999999999
1990-02-01,79.64
1990-03-01,105.17
1990-04-01,87.14
1990-05-01,19.92
1990-06-01,19.44
1990-07-01,16.9
1990-08-01,20.29
1990-09-01,16.48
1990-10-01,54.86
1990-11-01,41.15
1990-12-01,104.02
1991-01-01,169.37
1991-02-01,107.88
1991-03-01,111.29
1991-04-01,8.21
1991-05-01,14.0
1991-06-01,35.1
1991-07-01,16.919999999999998
1991-08-01,9.69
1991-09-01,49.72
1991-10-01,90.32
1991-11-01,64.0
1991-12-01,96.93
1992-01-01,58.14
1992-02-01,65.63
1992-03-01,42.51
1992-04-01,30.07
1992-05-01,5.41
1992-06-01,15.57
1992-07-01,10.19
1992-08-01,36.65
1992-09-01,16.02
1992-10-01,46.85
1992-11-01,105.3
1992-12-01,92.92
1993-01-01,67.37
1993-02-01,91.93
1993-03-01,62.74
1993-04-01,44.75
1993-05-01,15.95
1993-06-01,8.9
1993-07-01,12.74
1993-08-01,21.080000000000002
1993-09-01,26.54
1993-10-01,136.09
1993-11-01,78.26
1993-12-01,135.24
1994-01-01,99.59
1994-02-01,107.94
1994-03-01,77.59
1994-04-01,35.42
1994-05-01,7.010000000000001
1994-06-01,18.04
1994-07-01,13.22
1994-08-01,15.66
1994-09-01,13.98
1994-10-01,55.68
1994-11-01,57.49
1994-12-01,82.85
1995-01-01,91.24
1995-02-01,45.46
1995-03-01,111.96000000000001
1995-04-01,58.7
1995-05-01,36.2
1995-06-01,10.71
1995-07-01,10.38
1995-08-01,15.97
1995-09-01,15.14
1995-10-01,81.28
1995-11-01,125.39
1995-12-01,172.23
1996-01-01,140.98
1996-02-01,161.18
1996-03-01,81.77
1996-04-01,56.85
1996-05-01,35.32
1996-06-01,10.86
1996-07-01,37.61
1996-08-01,29.26
1996-09-01,24.18
1996-10-01,93.14
1996-11-01,120.31
1996-12-01,107.01
1997-01-01,107.94
1997-02-01,58.7
1997-03-01,132.42
1997-04-01,65.7
1997-05-01,61.19
1997-06-01,42.12
1997-07-01,16.05
1997-08-01,22.29
1997-09-01,41.71
1997-10-01,60.84
1997-11-01,119.96
1997-12-01,69.13
1998-01-01,131.36
1998-02-01,85.36
1998-03-01,84.39
1998-04-01,24.939999999999998
1998-05-01,17.47
1998-06-01,4.43
1998-07-01,13.55
1998-08-01,13.61
1998-09-01,31.88
1998-10-01,67.17
1998-11-01,130.26
1998-12-01,140.28
1999-01-01,99.33
1999-02-01,66.53999999999999
1999-03-01,58.09
1999-04-01,35.06
1999-05-01,39.1
1999-06-01,9.12
1999-07-01,10.48
1999-08-01,15.01
1999-09-01,24.74
1999-10-01,70.92
1999-11-01,74.13
1999-12-01,194.23
2000-01-01,163.23
2000-02-01,158.39000000000001
2000-03-01,139.21
2000-04-01,62.75
2000-05-01,44.44
2000-06-01,15.790000000000001
2000-07-01,9.82
2000-08-01,7.66
2000-09-01,47.59
2000-10-01,72.81
2000-11-01,120.4
2000-12-01,107.94
2001-01-01,68.76
2001-02-01,92.99
2001-03-01,64.81
2001-04-01,79.8
2001-05-01,33.15
2001-06-01,11.9
2001-07-01,17.61
2001-08-01,34.92
2001-09-01,55.16
2001-10-01,103.94
2001-11-01,142.3
2001-12-01,105.21
2002-01-01,107.67
2002-02-01,66.35
2002-03-01,51.03
2002-04-01,38.48
2002-05-01,36.269999999999996
2002-06-01,23.15
2002-07-01,29.169999999999998
2002-08-01,62.97
2002-09-01,33.550000000000004
2002-10-01,42.7
2002-11-01,32.43
2002-12-01,120.42999999999999
2003-01-01,91.81
2003-02-01,84.29
2003-03-01,63.550000000000004
2003-04-01,22.2
2003-05-01,18.169999999999998
2003-06-01,13.57
2003-07-01,4.61
2003-08-01,20.71
2003-09-01,23.32
2003-10-01,43.19
2003-11-01,94.17
2003-12-01,69.8
2004-01-01,113.46
2004-02-01,106.15
2004-03-01,102.67
2004-04-01,40.49
2004-05-01,5.96
2004-06-01,14.11
2004-07-01,25.669999999999998
2004-08-01,19.45
2004-09-01,31.740000000000002
2004-10-01,50.78
2004-11-01,60.42
2004-12-01,128.11
2005-01-01,142.84
2005-02-01,79.59
2005-03-01,84.99
2005-04-01,68.44
2005-05-01,17.73
2005-06-01,14.4
2005-07-01,4.51
2005-08-01,28.72
2005-09-01,15.24
2005-10-01,46.51
2005-11-01,97.19
2005-12-01,56.26
2006-01-01,171.3
2006-02-01,151.45
2006-03-01,96.92
2006-04-01,54.09
2006-05-01,31.38
2006-06-01,8.6
2006-07-01,10.54
2006-08-01,56.32
2006-09-01,20.59
2006-10-01,59.85
2006-11-01,92.35000000000001
2006-12-01,118.65
2007-01-01,49.16
2007-02-01,34.93
2007-03-01,46.5
2007-04-01,39.480000000000004
2007-05-01,7.529999999999999
2007-06-01,33.81
2007-07-01,11.21
2007-08-01,10.82
2007-09-01,34.93
2007-10-01,109.04
2007-11-01,103.78
2007-12-01,88.3
2008-01-01,108.82
2008-02-01,62.27
2008-03-01,89.56
2008-04-01,32.79
2008-05-01,33.660000000000004
2008-06-01,25.87
2008-07-01,11.540000000000001
2008-08-01,12.27
2008-09-01,17.63
2008-10-01,32.8
2008-11-01,97.29
2008-12-01,76.24
2009-01-01,153.44
2009-02-01,108.9
2009-03-01,59.35
2009-04-01,16.18
2009-05-01,30.669999999999998
2009-06-01,36.02
2009-07-01,12.24
2009-08-01,27.75
2009-09-01,21.48
2009-10-01,91.6
2009-11-01,97.98
2009-12-01,81.12
2010-01-01,177.05
2010-02-01,63.57
2010-03-01,64.03999999999999
2010-04-01,73.11
2010-05-01,26.2
2010-06-01,14.28
2010-07-01,7.17
2010-08-01,6.06
2010-09-01,8.35
2010-10-01,58.54
2010-11-01,91.98
2010-12-01,153.28
2011-01-01,162.35999999999999
2011-02-01,65.82
2011-03-01,64.65
2011-04-01,79.2
2011-05-01,34.21
2011-06-01,39.88
2011-07-01,25.64
2011-08-01,19.93
2011-09-01,9.93
2011-10-01,56.8
2011-11-01,57.59
2011-12-01,126.1
2012-01-01,72.15
2012-02-01,71.55
2012-03-01,64.66
2012-04-01,21.13
2012-05-01,8.49
2012-06-01,25.11
2012-07-01,17.98
2012-08-01,22.580000000000002
2012-09-01,72.95
2012-10-01,93.82000000000001
2012-11-01,57.08
2012-12-01,131.17
2013-01-01,103.88
2013-02-01,50.04
2013-03-01,55.230000000000004
2013-04-01,70.05
2013-05-01,16.62
2013-06-01,12.73
2013-07-01,11.19
2013-08-01,21.71
2013-09-01,13.91
2013-10-01,66.35
2013-11-01,70.07
2013-12-01,141.53
2014-01-01,81.58
2014-02-01,110.60000000000001
2014-03-01,124.42
2014-04-01,28.529999999999998
2014-05-01,9.41
2014-06-01,11.030000000000001
2014-07-01,9.31
2014-08-01,20.64
2014-09-01,17.27
2014-10-01,35.65
2014-11-01,107.76
2014-12-01,126.7
2015-01-01,71.29
2015-02-01,55.37
2015-03-01,67.42
2015-04-01,37.81
2015-05-01,5.93
2015-06-01,23.33
2015-07-01,30.42
2015-08-01,9.66
2015-09-01,38.11
2015-10-01,24.83
2015-11-01,47.190000000000005
2015-12-01,53.449999999999996
2016-01-01,98.98
2016-02-01,64.45
2016-03-01,79.87
2016-04-01,41.54
2016-05-01,29.48
2016-06-01,18.1
2016-07-01,43.59
2016-08-01,10.34
2016-09-01,26.619999999999997
2016-10-01,46.47
2016-11-01,97.91
2016-12-01,76.03
2017-01-01,129.43
2017-02-01,151.76
2017-03-01,32.82
2017-04-01,37.96
2017-05-01,31.740000000000002
2017-06-01,8.28
2017-07-01,6.14
2017-08-01,13.5
2017-09-01,16.91
2017-10-01,70.02
2017-11-01,67.07
2017-12-01,90.11
2018-01-01,67.05
2018-02-01,79.08
2018-03-01,117.78
2018-04-01,47.55
2018-05-01,26.86
2018-06-01,8.63
2018-07-01,12.97
2018-08-01,24.37
2018-09-01,23.75
2018-10-01,34.57
2018-11-01,35.39
2018-12-01,79.53
2019-01-01,70.64
2019-02-01,99.1
2019-03-01,51.62
2019-04-01,95.98
2019-05-01,10.28
2019-06-01,7.0
2019-07-01,8.13
