,ZAF
1946-02-01,20.520714285714288
1946-03-01,18.11806451612903
1946-04-01,16.375333333333334
1946-05-01,13.843870967741937
1946-06-01,9.529333333333334
1946-07-01,10.62225806451613
1946-08-01,12.149999999999999
1946-09-01,17.017333333333333
1946-10-01,18.563225806451616
1946-11-01,19.02466666666667
1946-12-01,21.139032258064518
1947-01-01,21.163870967741936
1947-02-01,19.756071428571428
1947-03-01,18.11
1947-04-01,16.014333333333333
1947-05-01,12.439032258064517
1947-06-01,10.235333333333333
1947-07-01,9.352580645161291
1947-08-01,13.088709677419354
1947-09-01,14.822333333333335
1947-10-01,19.193870967741937
1947-11-01,20.538666666666664
1947-12-01,19.27258064516129
1948-01-01,19.999032258064517
1948-02-01,19.863793103448273
1948-03-01,18.523870967741935
1948-04-01,15.118333333333334
1948-05-01,13.255806451612903
1948-06-01,10.296666666666665
1948-07-01,10.581612903225805
1948-08-01,12.383870967741935
1948-09-01,15.654333333333334
1948-10-01,17.571290322580648
1948-11-01,19.071666666666665
1948-12-01,20.681290322580644
1949-01-01,22.549354838709675
1949-02-01,21.41357142857143
1949-03-01,19.509032258064515
1949-04-01,16.841666666666665
1949-05-01,12.657741935483871
1949-06-01,10.909666666666668
1949-07-01,10.716774193548387
1949-08-01,13.476774193548387
1949-09-01,17.012999999999998
1949-10-01,18.842903225806452
1949-11-01,18.832666666666668
1949-12-01,21.134193548387096
1950-01-01,20.448387096774194
1950-02-01,20.344642857142855
1950-03-01,19.74258064516129
1950-04-01,16.316
1950-05-01,11.95774193548387
1950-06-01,11.215666666666667
1950-07-01,10.495806451612903
1950-08-01,11.780967741935482
1950-09-01,16.87666666666667
1950-10-01,19.036129032258064
1950-11-01,19.727666666666668
1950-12-01,21.531612903225806
1951-01-01,20.40032258064516
1951-02-01,20.761071428571427
1951-03-01,18.923548387096773
1951-04-01,17.229666666666667
1951-05-01,13.329677419354839
1951-06-01,9.877999999999998
1951-07-01,9.656129032258063
1951-08-01,12.761935483870968
1951-09-01,16.241
1951-10-01,18.627741935483872
1951-11-01,19.848333333333336
1951-12-01,22.791290322580643
1952-01-01,22.391612903225806
1952-02-01,19.37
1952-03-01,18.982903225806453
1952-04-01,17.507
1952-05-01,13.368387096774194
1952-06-01,11.371
1952-07-01,10.720967741935485
1952-08-01,13.329032258064515
1952-09-01,16.393
1952-10-01,20.589354838709678
1952-11-01,21.196
1952-12-01,20.296451612903226
1953-01-01,22.476451612903226
1953-02-01,20.922500000000003
1953-03-01,19.40806451612903
1953-04-01,16.840666666666667
1953-05-01,14.555483870967741
1953-06-01,10.530333333333335
1953-07-01,9.862903225806452
1953-08-01,13.100645161290323
1953-09-01,16.458666666666666
1953-10-01,20.918064516129032
1953-11-01,20.237000000000002
1953-12-01,20.646451612903224
1954-01-01,20.968387096774194
1954-02-01,21.30892857142857
1954-03-01,20.009032258064515
1954-04-01,17.362000000000002
1954-05-01,13.936451612903225
1954-06-01,9.469333333333333
1954-07-01,9.36483870967742
1954-08-01,11.915806451612903
1954-09-01,16.477666666666668
1954-10-01,19.408709677419353
1954-11-01,19.127
1954-12-01,19.434516129032257
1955-01-01,20.48741935483871
1955-02-01,19.215
1955-03-01,18.156451612903226
1955-04-01,15.610333333333333
1955-05-01,13.12774193548387
1955-06-01,9.672333333333334
1955-07-01,9.845161290322581
1955-08-01,11.96774193548387
1955-09-01,15.624333333333334
1955-10-01,17.23709677419355
1955-11-01,17.84333333333333
1955-12-01,19.219032258064516
1956-01-01,21.197741935483872
1956-02-01,20.30448275862069
1956-03-01,19.845483870967744
1956-04-01,17.183
1956-05-01,13.341935483870968
1956-06-01,10.383999999999999
1956-07-01,11.009032258064515
1956-08-01,12.911612903225807
1956-09-01,15.506
1956-10-01,18.572580645161292
