,ZAF
1977-02-01,138.17000000000002
1977-03-01,110.89
1977-04-01,50.39
1977-05-01,35.66
1977-06-01,28.28
1977-07-01,15.85
1977-08-01,30.5
1977-09-01,79.27
1977-10-01,63.65
1977-11-01,71.96000000000001
1977-12-01,97.34
1978-01-01,173.15
1978-02-01,101.89
1978-03-01,84.69
1978-04-01,70.06
1978-05-01,16.43
1978-06-01,7.55
1978-07-01,12.87
1978-08-01,33.78
1978-09-01,47.21
1978-10-01,74.2
1978-11-01,75.28
1978-12-01,75.0
1979-01-01,92.66
1979-02-01,79.57
1979-03-01,64.77
1979-04-01,41.39
1979-05-01,36.13
1979-06-01,16.25
1979-07-01,32.54
1979-08-01,57.68
1979-09-01,43.09
1979-10-01,80.53
1979-11-01,96.72
1979-12-01,98.72
1980-01-01,115.84
1980-02-01,108.14
1980-03-01,44.230000000000004
1980-04-01,33.06
1980-05-01,23.44
1980-06-01,14.21
1980-07-01,6.109999999999999
1980-08-01,20.03
1980-09-01,67.55
1980-10-01,33.94
1980-11-01,117.41
1980-12-01,95.03999999999999
1981-01-01,161.15
1981-02-01,89.93
1981-03-01,81.22
1981-04-01,35.93
1981-05-01,30.43
1981-06-01,23.31
1981-07-01,20.78
1981-08-01,64.72
1981-09-01,52.419999999999995
1981-10-01,51.51
1981-11-01,88.26
1981-12-01,81.26
1982-01-01,101.91
1982-02-01,52.019999999999996
1982-03-01,76.0
1982-04-01,62.4
1982-05-01,21.42
1982-06-01,25.16
1982-07-01,26.11
1982-08-01,15.33
1982-09-01,28.27
1982-10-01,108.02
1982-11-01,52.76
1982-12-01,68.08
1983-01-01,73.97
1983-02-01,45.85
1983-03-01,70.15
1983-04-01,38.78
1983-05-01,50.5
1983-06-01,33.06
1983-07-01,42.38
1983-08-01,29.02
1983-09-01,35.89
1983-10-01,64.61
1983-11-01,127.77
1983-12-01,101.15
1984-01-01,115.17
1984-02-01,53.69
1984-03-01,90.92
1984-04-01,43.1
1984-05-01,32.25
1984-06-01,23.46
1984-07-01,41.5
1984-08-01,31.580000000000002
1984-09-01,37.15
1984-10-01,93.31
1984-11-01,104.38
1984-12-01,70.59
1985-01-01,117.47
1985-02-01,139.58
1985-03-01,75.08
1985-04-01,21.72
1985-05-01,25.19
1985-06-01,23.86
1985-07-01,20.77
1985-08-01,16.18
1985-09-01,41.2
1985-10-01,116.92
1985-11-01,89.37
1985-12-01,121.82000000000001
1986-01-01,99.68
1986-02-01,79.87
1986-03-01,79.35
1986-04-01,66.76
1986-05-01,12.87
1986-06-01,41.36
1986-07-01,21.12
1986-08-01,51.44
1986-09-01,38.19
1986-10-01,104.45
1986-11-01,94.81
1986-12-01,119.04
1987-01-01,116.38
1987-02-01,68.96
1987-03-01,104.56
1987-04-01,39.92
1987-05-01,21.98
1987-06-01,32.54
1987-07-01,20.8
1987-08-01,56.29
1987-09-01,191.26999999999998
1987-10-01,63.7
1987-11-01,103.55
1987-12-01,119.0
1988-01-01,86.78999999999999
1988-02-01,121.2
1988-03-01,120.42999999999999
1988-04-01,82.75
1988-05-01,26.78
1988-06-01,36.98
1988-07-01,23.900000000000002
1988-08-01,30.32
1988-09-01,54.62
1988-10-01,108.27
1988-11-01,64.02
1988-12-01,121.75
1989-01-01,91.14
1989-02-01,158.87
1989-03-01,59.92
1989-04-01,65.62
1989-05-01,30.23
1989-06-01,41.019999999999996
1989-07-01,22.8
1989-08-01,20.2
1989-09-01,27.37
1989-10-01,70.78
1989-11-01,174.34
1989-12-01,98.84
1990-01-01,90.6
1990-02-01,76.0
1990-03-01,110.56
1990-04-01,86.73
1990-05-01,30.27
1990-06-01,23.91
1990-07-01,27.59
1990-08-01,30.59
1990-09-01,19.4
1990-10-01,65.24
1990-11-01,47.23
1990-12-01,105.89
1991-01-01,136.47
1991-02-01,115.79
1991-03-01,100.37
1991-04-01,11.66
1991-05-01,24.21
1991-06-01,42.18
1991-07-01,29.91
1991-08-01,15.5
1991-09-01,55.39
1991-10-01,77.83
1991-11-01,73.61
1991-12-01,95.81
1992-01-01,60.78
1992-02-01,64.44
1992-03-01,46.16
1992-04-01,36.68
1992-05-01,10.36
1992-06-01,27.919999999999998
1992-07-01,14.99
1992-08-01,34.37
1992-09-01,22.29
1992-10-01,54.43
1992-11-01,92.18
1992-12-01,105.12
1993-01-01,69.69
1993-02-01,86.8
1993-03-01,69.21000000000001
1993-04-01,52.97
1993-05-01,20.61
1993-06-01,17.08
1993-07-01,28.38
1993-08-01,23.62
1993-09-01,36.38
1993-10-01,111.47
1993-11-01,77.97
1993-12-01,124.19
1994-01-01,88.88
1994-02-01,95.1
1994-03-01,70.81
1994-04-01,32.82
1994-05-01,10.35
1994-06-01,36.35
1994-07-01,24.43
1994-08-01,23.6
1994-09-01,22.380000000000003
1994-10-01,68.66
1994-11-01,58.07
1994-12-01,84.34
1995-01-01,96.0
1995-02-01,48.910000000000004
1995-03-01,125.79
1995-04-01,78.46000000000001
1995-05-01,38.03
1995-06-01,19.53
1995-07-01,21.69
1995-08-01,25.93
1995-09-01,19.85
1995-10-01,90.77
1995-11-01,111.47
1995-12-01,172.62
1996-01-01,149.43
1996-02-01,185.85
1996-03-01,79.78999999999999
1996-04-01,53.39
1996-05-01,37.43
1996-06-01,23.0
1996-07-01,49.55
1996-08-01,33.2
1996-09-01,29.560000000000002
1996-10-01,85.42
1996-11-01,112.59
1996-12-01,100.43
1997-01-01,113.28
1997-02-01,62.07
1997-03-01,123.52
1997-04-01,62.03
1997-05-01,64.53
1997-06-01,58.46
1997-07-01,18.57
1997-08-01,30.02
1997-09-01,48.12
1997-10-01,68.54
1997-11-01,126.31
1997-12-01,66.36
1998-01-01,117.25
1998-02-01,76.44
1998-03-01,77.42
1998-04-01,31.89
1998-05-01,30.74
1998-06-01,8.52
1998-07-01,21.17
1998-08-01,21.19
1998-09-01,35.19
1998-10-01,73.2
1998-11-01,126.8
1998-12-01,140.31
1999-01-01,108.27
1999-02-01,74.2
1999-03-01,63.51
1999-04-01,38.96
1999-05-01,36.49
1999-06-01,16.18
1999-07-01,20.68
1999-08-01,24.82
1999-09-01,35.49
1999-10-01,74.84
1999-11-01,78.16
1999-12-01,198.55
2000-01-01,164.03
2000-02-01,194.32
2000-03-01,140.55
2000-04-01,72.93
2000-05-01,49.5
2000-06-01,22.0
2000-07-01,17.14
2000-08-01,12.24
2000-09-01,61.21
2000-10-01,73.92
2000-11-01,128.01
2000-12-01,107.05
2001-01-01,77.77
2001-02-01,98.83
2001-03-01,62.72
2001-04-01,76.46
2001-05-01,39.71
2001-06-01,14.4
2001-07-01,33.0
2001-08-01,37.08
2001-09-01,70.81
2001-10-01,95.83
2001-11-01,148.3
2001-12-01,95.62
2002-01-01,98.78
2002-02-01,71.79
2002-03-01,48.8
2002-04-01,43.089999999999996
2002-05-01,34.43
2002-06-01,31.04
2002-07-01,53.01
2002-08-01,57.78
2002-09-01,37.0
2002-10-01,44.4
2002-11-01,35.92
2002-12-01,109.79
2003-01-01,89.03999999999999
2003-02-01,84.88000000000001
2003-03-01,58.54
2003-04-01,24.779999999999998
2003-05-01,24.580000000000002
2003-06-01,20.16
2003-07-01,9.65
2003-08-01,31.22
2003-09-01,32.98
2003-10-01,51.61
2003-11-01,85.17
2003-12-01,70.68
2004-01-01,116.3
2004-02-01,113.06
2004-03-01,105.85000000000001
2004-04-01,41.79
2004-05-01,8.86
2004-06-01,21.47
2004-07-01,39.6
2004-08-01,30.07
2004-09-01,39.120000000000005
2004-10-01,52.66
2004-11-01,66.99
2004-12-01,119.53
2005-01-01,139.18
2005-02-01,76.72
2005-03-01,86.87
2005-04-01,67.6
2005-05-01,21.88
2005-06-01,24.01
2005-07-01,9.24
2005-08-01,33.49
2005-09-01,19.59
2005-10-01,41.06
2005-11-01,107.47
2005-12-01,68.67
2006-01-01,155.09
2006-02-01,145.73
2006-03-01,97.83
2006-04-01,57.74
2006-05-01,39.6
2006-06-01,12.84
2006-07-01,15.23
2006-08-01,59.03
2006-09-01,29.57
2006-10-01,63.45
2006-11-01,101.67
2006-12-01,114.59
2007-01-01,52.5
2007-02-01,40.36
2007-03-01,57.06
2007-04-01,48.95
2007-05-01,14.34
2007-06-01,43.41
2007-07-01,21.16
2007-08-01,21.66
2007-09-01,35.83
2007-10-01,102.33
2007-11-01,106.15
2007-12-01,86.96
2008-01-01,112.88
2008-02-01,66.31
2008-03-01,97.25
2008-04-01,40.86
2008-05-01,34.55
2008-06-01,35.51
2008-07-01,19.990000000000002
2008-08-01,21.49
2008-09-01,33.089999999999996
2008-10-01,38.65
2008-11-01,95.23
2008-12-01,84.76
2009-01-01,141.18
2009-02-01,115.62
2009-03-01,65.22
2009-04-01,20.65
2009-05-01,31.59
2009-06-01,35.63
2009-07-01,16.89
2009-08-01,36.550000000000004
2009-09-01,31.740000000000002
2009-10-01,84.78
2009-11-01,112.84
2009-12-01,83.25
2010-01-01,152.07
2010-02-01,67.79
2010-03-01,60.96
2010-04-01,74.17
2010-05-01,35.82
2010-06-01,22.04
2010-07-01,11.99
2010-08-01,11.07
2010-09-01,12.79
2010-10-01,68.02
2010-11-01,98.61
2010-12-01,147.08
2011-01-01,155.3
2011-02-01,56.55
2011-03-01,61.17
2011-04-01,80.54
2011-05-01,45.48
2011-06-01,44.45
2011-07-01,34.769999999999996
2011-08-01,27.3
2011-09-01,15.78
2011-10-01,65.26
2011-11-01,74.68
2011-12-01,130.37
2012-01-01,80.01
2012-02-01,69.5
2012-03-01,73.13
2012-04-01,26.84
2012-05-01,14.85
2012-06-01,29.16
2012-07-01,25.009999999999998
2012-08-01,36.39
2012-09-01,95.4
2012-10-01,126.19
2012-11-01,63.2
2012-12-01,123.84
2013-01-01,120.83
2013-02-01,54.68
