,month,gadm0,pre
490,2002-11-01,AFG,22.3
491,2002-12-01,AFG,49.48
492,2003-01-01,AFG,29.36
493,2003-02-01,AFG,86.2
494,2003-03-01,AFG,93.58
495,2003-04-01,AFG,71.1
496,2003-05-01,AFG,41.8
497,2003-06-01,AFG,9.41
498,2003-07-01,AFG,18.72
499,2003-08-01,AFG,16.54
500,2003-09-01,AFG,10.85
501,2003-10-01,AFG,9.31
502,2003-11-01,AFG,43.1
503,2003-12-01,AFG,35.8
504,2004-01-01,AFG,63.29
505,2004-02-01,AFG,34.96
506,2004-03-01,AFG,30.13
507,2004-04-01,AFG,56.85
508,2004-05-01,AFG,26.05
509,2004-06-01,AFG,6.18
510,2004-07-01,AFG,18.39
511,2004-08-01,AFG,14.04
512,2004-09-01,AFG,8.61
513,2004-10-01,AFG,18.8
514,2004-11-01,AFG,30.9
515,2004-12-01,AFG,72.44
516,2005-01-01,AFG,53.43
517,2005-02-01,AFG,70.05
518,2005-03-01,AFG,103.36
519,2005-04-01,AFG,41.99
520,2005-05-01,AFG,61.61
521,2005-06-01,AFG,23.49
522,2005-07-01,AFG,15.32
523,2005-08-01,AFG,16.36
524,2005-09-01,AFG,7.75
525,2005-10-01,AFG,7.62
526,2005-11-01,AFG,24.01
527,2005-12-01,AFG,14.93
528,2006-01-01,AFG,77.66
529,2006-02-01,AFG,44.56
530,2006-03-01,AFG,64.94
531,2006-04-01,AFG,45.37
532,2006-05-01,AFG,10.86
533,2006-06-01,AFG,7.85
534,2006-07-01,AFG,19.52
535,2006-08-01,AFG,23.61
536,2006-09-01,AFG,7.42
537,2006-10-01,AFG,10.05
538,2006-11-01,AFG,59.54
539,2006-12-01,AFG,56.65
540,2007-01-01,AFG,27.08
541,2007-02-01,AFG,86.45
542,2007-03-01,AFG,106.21
543,2007-04-01,AFG,28.78
544,2007-05-01,AFG,25.71
545,2007-06-01,AFG,32.1
546,2007-07-01,AFG,12.01
547,2007-08-01,AFG,11.92
548,2007-09-01,AFG,5.75
549,2007-10-01,AFG,3.47
550,2007-11-01,AFG,10.98
551,2007-12-01,AFG,42.07
552,2008-01-01,AFG,63.0
553,2008-02-01,AFG,37.08
554,2008-03-01,AFG,18.44
555,2008-04-01,AFG,69.05
556,2008-05-01,AFG,22.04
557,2008-06-01,AFG,7.73
558,2008-07-01,AFG,15.4
559,2008-08-01,AFG,17.1
560,2008-09-01,AFG,6.78
561,2008-10-01,AFG,10.34
